"filename", "language", "CSS", "XML", "JSON", "HTML", "JavaScript", "Markdown", "comment", "blank", "total"
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/about/about.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/breadcrumbs/breadcrumbs.css", "CSS", 36, 0, 0, 0, 0, 0, 4, 7, 47
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/button/button-download.css", "CSS", 25, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/button/button-slider.css", "CSS", 27, 0, 0, 0, 0, 0, 0, 6, 33
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/button/button.css", "CSS", 64, 0, 0, 0, 0, 0, 0, 8, 72
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/button/footer-btn-download.css", "CSS", 20, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/catalog/1.catalog-header/catalog-header.css", "CSS", 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/catalog/2.catalog-products/catalog-products.css", "CSS", 100, 0, 0, 0, 0, 0, 2, 19, 121
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/catalog/2.catalog-products/filters.css", "CSS", 76, 0, 0, 0, 0, 0, 0, 14, 90
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/catalog/2.catalog-products/list-grid.css", "CSS", 64, 0, 0, 0, 0, 0, 2, 12, 78
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/catalog/2.catalog-products/view-options.css", "CSS", 31, 0, 0, 0, 0, 0, 0, 5, 36
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/catalog/catalog.css", "CSS", 8, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/certification/certification.css", "CSS", 30, 0, 0, 0, 0, 0, 0, 6, 36
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/contacts/contacts.css", "CSS", 58, 0, 0, 0, 0, 0, 3, 14, 75
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/footer/footer.css", "CSS", 144, 0, 0, 0, 0, 0, 0, 24, 168
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/forms/contact-cta.css", "CSS", 67, 0, 0, 0, 0, 0, 0, 9, 76
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/header/header.css", "CSS", 81, 0, 0, 0, 0, 0, 0, 15, 96
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/index/1.start-section/start-section.css", "CSS", 114, 0, 0, 0, 0, 0, 1, 24, 139
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/index/2.popular-product/popular-product-section.css", "CSS", 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/index/2.popular-product/slider.css", "CSS", 132, 0, 0, 0, 0, 0, 0, 21, 153
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/index/3.advantage-section/advantage-section.css", "CSS", 117, 0, 0, 0, 0, 0, 2, 23, 142
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/index/4.partners-section/partners-section.css", "CSS", 49, 0, 0, 0, 0, 0, 0, 7, 56
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/index/5.change-color-section/change-color-section.css", "CSS", 99, 0, 0, 0, 0, 0, 13, 17, 129
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/index/index.css", "CSS", 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/partners/form/form.css", "CSS", 120, 0, 0, 0, 0, 0, 0, 21, 141
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/partners/partners.css", "CSS", 79, 0, 0, 0, 0, 0, 0, 14, 93
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/product-template/description/description.css", "CSS", 107, 0, 0, 0, 0, 0, 0, 19, 126
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/product-template/description/product-consumption.css", "CSS", 31, 0, 0, 0, 0, 0, 0, 5, 36
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/product-template/description/updatePrice.css", "CSS", 38, 0, 0, 0, 0, 0, 6, 8, 52
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/product-template/image/image.css", "CSS", 34, 0, 0, 0, 0, 0, 1, 7, 42
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/product-template/product-template.css", "CSS", 17, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/blocks/product-template/tabs/tabs.css", "CSS", 100, 0, 0, 0, 0, 0, 0, 18, 118
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/catalog.html", "HTML", 0, 0, 0, 812, 0, 0, 25, 26, 863
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/certification.html", "HTML", 0, 0, 0, 439, 0, 0, 12, 24, 475
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/contacts.html", "HTML", 0, 0, 0, 523, 0, 0, 12, 24, 559
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/data/data-certification.json", "JSON", 0, 0, 48, 0, 0, 0, 0, 1, 49
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/data/data-change-color.json", "JSON", 0, 0, 52, 0, 0, 0, 0, 1, 53
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/data/data-partners.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 1, 37
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/data/data-slider-popular-project.json", "JSON", 0, 0, 76, 0, 0, 0, 0, 2, 78
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/data/products.json", "JSON", 0, 0, 809, 0, 0, 0, 0, 19, 828
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/index.html", "HTML", 0, 0, 0, 1103, 0, 0, 14, 81, 1198
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/partners.html", "HTML", 0, 0, 0, 737, 0, 0, 19, 52, 808
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/product-template.html", "HTML", 0, 0, 0, 893, 0, 0, 19, 29, 941
"/Users/mazalov/Desktop/ПрагматикаЮГ/PragmaticUg/src/scripts/about/about.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 1, 2
